usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,list_price_usd,cost_type,inference_geo,speed
2026-04-01,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_write_5m,0.20,0.20,token,global,
2026-04-01,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.11,0.11,token,global,
2026-04-02,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-02,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,15.25,15.25,token,global,
2026-04-02,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,9.15,9.15,token,global,
2026-04-02,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,output,1.57,1.57,token,global,
2026-04-02,Claude Sonnet 4,Default,Duncan-Proto,message,≤ 200k,input_no_cache,0.06,0.06,token,not_available,
2026-04-02,Claude Sonnet 4,Default,Duncan-Proto,message,≤ 200k,output,0.01,0.01,token,not_available,
2026-04-02,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,7.96,7.96,token,not_available,
2026-04-02,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.72,0.72,token,not_available,
2026-04-02,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-02,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,0.14,0.14,token,global,
2026-04-02,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.35,0.35,token,global,
2026-04-02,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,output,0.12,0.12,token,global,
2026-04-02,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-02,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_read,0.44,0.44,token,global,
2026-04-02,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_write_5m,0.54,0.54,token,global,
2026-04-02,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.29,0.29,token,global,
2026-04-03,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_no_cache,0.00,0.00,token,global,
2026-04-03,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_read,9.15,9.15,token,global,
2026-04-03,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_write_5m,6.98,6.98,token,global,
2026-04-03,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,output,0.56,0.56,token,global,
2026-04-03,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-03,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,0.27,0.27,token,global,
2026-04-03,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.35,0.35,token,global,
2026-04-03,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,output,0.34,0.34,token,global,
2026-04-03,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,input_no_cache,0.30,0.30,token,global,
2026-04-03,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,output,0.02,0.02,token,global,
2026-04-04,Claude Haiku 3,Default,ciso-key,message,≤ 200k,input_no_cache,0.06,0.06,token,not_available,
2026-04-04,Claude Haiku 3,Default,ciso-key,message,≤ 200k,output,0.50,0.50,token,not_available,
2026-04-05,Claude Haiku 3,Default,ciso-key,message,≤ 200k,input_no_cache,0.21,0.21,token,not_available,
2026-04-05,Claude Haiku 3,Default,ciso-key,message,≤ 200k,output,1.30,1.30,token,not_available,
2026-04-05,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-05,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,0.72,0.72,token,global,
2026-04-05,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.76,0.76,token,global,
2026-04-05,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,output,0.22,0.22,token,global,
2026-04-06,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_no_cache,0.01,0.01,token,not_available,
2026-04-06,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.03,0.03,token,not_available,
2026-04-06,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,output,0.01,0.01,token,not_available,
2026-04-06,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-06,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,2.04,2.04,token,global,
2026-04-06,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,3.22,3.22,token,global,
2026-04-06,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,output,1.01,1.01,token,global,
2026-04-06,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_no_cache,0.00,0.00,token,global,
2026-04-06,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_read,7.60,7.60,token,global,
2026-04-06,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_write_5m,5.84,5.84,token,global,
2026-04-06,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,output,0.28,0.28,token,global,
2026-04-06,Claude Sonnet 4,Default,QuePasa,message,≤ 200k,input_no_cache,0.02,0.02,token,not_available,
2026-04-06,Claude Sonnet 4,Default,QuePasa,message,≤ 200k,output,0.04,0.04,token,not_available,
2026-04-06,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.01,0.01,token,global,
2026-04-06,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,2.76,2.76,token,global,
2026-04-06,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,2.74,2.74,token,global,
2026-04-06,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,output,1.14,1.14,token,global,
2026-04-06,Claude Sonnet 4.6,Default,QuePasa,message,200k - 1M,input_no_cache,0.00,0.00,token,global,
2026-04-06,Claude Sonnet 4.6,Default,QuePasa,message,200k - 1M,input_cache_read,3.35,3.35,token,global,
2026-04-06,Claude Sonnet 4.6,Default,QuePasa,message,200k - 1M,input_cache_write_5m,2.02,2.02,token,global,
2026-04-06,Claude Sonnet 4.6,Default,QuePasa,message,200k - 1M,output,0.44,0.44,token,global,
2026-04-07,--,Default,QuePasa,--,--,--,0.03,0.03,web_search,--,--
2026-04-07,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_no_cache,0.01,0.01,token,not_available,
2026-04-07,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_read,0.03,0.03,token,not_available,
2026-04-07,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.22,0.22,token,not_available,
2026-04-07,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,output,0.04,0.04,token,not_available,
2026-04-07,Claude Haiku 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-04-07,Claude Haiku 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_write_5m,0.01,0.01,token,not_available,
2026-04-07,Claude Haiku 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.00,0.00,token,not_available,
2026-04-07,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-07,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,7.12,7.12,token,global,
2026-04-07,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,7.54,7.54,token,global,
2026-04-07,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,output,2.87,2.87,token,global,
2026-04-07,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_no_cache,0.00,0.00,token,global,
2026-04-07,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_read,4.04,4.04,token,global,
2026-04-07,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_write_5m,3.33,3.33,token,global,
2026-04-07,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,output,0.28,0.28,token,global,
2026-04-07,Claude Sonnet 4,Default,Duncan-Proto,message,≤ 200k,input_no_cache,0.01,0.01,token,not_available,
2026-04-07,Claude Sonnet 4,Default,Duncan-Proto,message,≤ 200k,output,0.00,0.00,token,not_available,
2026-04-07,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,3.07,3.07,token,not_available,
2026-04-07,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.52,0.52,token,not_available,
2026-04-07,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-07,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,3.40,3.40,token,global,
2026-04-07,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,5.48,5.48,token,global,
2026-04-07,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,output,1.67,1.67,token,global,
2026-04-08,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_no_cache,0.10,0.10,token,not_available,
2026-04-08,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_read,0.16,0.16,token,not_available,
2026-04-08,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.20,0.20,token,not_available,
2026-04-08,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,output,0.07,0.07,token,not_available,
2026-04-08,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.01,0.01,token,global,
2026-04-08,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,5.67,5.67,token,global,
2026-04-08,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,7.87,7.87,token,global,
2026-04-08,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,output,2.44,2.44,token,global,
2026-04-08,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_no_cache,0.00,0.00,token,global,
2026-04-08,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_read,0.93,0.93,token,global,
2026-04-08,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_write_5m,0.08,0.08,token,global,
2026-04-08,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,output,0.07,0.07,token,global,
2026-04-08,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,5.83,5.83,token,not_available,
2026-04-08,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.56,0.56,token,not_available,
2026-04-08,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-08,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,5.37,5.37,token,global,
2026-04-08,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,8.20,8.20,token,global,
2026-04-08,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,output,1.65,1.65,token,global,
2026-04-08,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,input_no_cache,5.28,5.28,token,global,
2026-04-08,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,output,0.32,0.32,token,global,
2026-04-08,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-08,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_read,1.23,1.23,token,global,
2026-04-08,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_write_5m,1.44,1.44,token,global,
2026-04-08,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,output,1.02,1.02,token,global,
2026-04-09,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_no_cache,0.01,0.01,token,not_available,
2026-04-09,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_read,0.35,0.35,token,not_available,
2026-04-09,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.33,0.33,token,not_available,
2026-04-09,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,output,0.27,0.27,token,not_available,
2026-04-09,Claude Haiku 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,0.01,0.01,token,not_available,
2026-04-09,Claude Haiku 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_read,0.01,0.01,token,not_available,
2026-04-09,Claude Haiku 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_write_5m,0.05,0.05,token,not_available,
2026-04-09,Claude Haiku 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.02,0.02,token,not_available,
2026-04-09,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-09,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,10.19,10.19,token,global,
2026-04-09,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,13.36,13.36,token,global,
2026-04-09,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,output,3.97,3.97,token,global,
2026-04-09,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_no_cache,0.00,0.00,token,global,
2026-04-09,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_read,15.64,15.64,token,global,
2026-04-09,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_write_5m,9.11,9.11,token,global,
2026-04-09,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,output,1.03,1.03,token,global,
2026-04-09,Claude Sonnet 4.5,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-04-09,Claude Sonnet 4.5,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.22,0.22,token,not_available,
2026-04-09,Claude Sonnet 4.5,Default,QuePasa,message,≤ 200k,output,0.01,0.01,token,not_available,
2026-04-09,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,5.62,5.62,token,not_available,
2026-04-09,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.52,0.52,token,not_available,
2026-04-09,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.61,0.61,token,global,
2026-04-09,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,4.94,4.94,token,global,
2026-04-09,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,7.51,7.51,token,global,
2026-04-09,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,output,2.18,2.18,token,global,
2026-04-09,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,input_no_cache,0.47,0.47,token,global,
2026-04-09,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,output,0.03,0.03,token,global,
2026-04-09,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,0.01,0.01,token,global,
2026-04-09,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_read,1.07,1.07,token,global,
2026-04-09,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_write_5m,1.29,1.29,token,global,
2026-04-09,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.77,0.77,token,global,
2026-04-10,Claude Haiku 3,Default,ciso-key,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-04-10,Claude Haiku 3,Default,ciso-key,message,≤ 200k,output,0.00,0.00,token,not_available,
2026-04-10,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,not_available,
2026-04-10,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,output,0.00,0.00,token,not_available,
2026-04-10,Claude Haiku 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,0.01,0.01,token,not_available,
2026-04-10,Claude Haiku 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_read,0.01,0.01,token,not_available,
2026-04-10,Claude Haiku 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_write_5m,0.04,0.04,token,not_available,
2026-04-10,Claude Haiku 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.02,0.02,token,not_available,
2026-04-10,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-10,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,16.17,16.17,token,global,
2026-04-10,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,26.42,26.42,token,global,
2026-04-10,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,output,3.54,3.54,token,global,
2026-04-10,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_no_cache,0.00,0.00,token,global,
2026-04-10,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_read,17.71,17.71,token,global,
2026-04-10,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_write_5m,18.04,18.04,token,global,
2026-04-10,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,output,1.73,1.73,token,global,
2026-04-10,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,10.27,10.27,token,not_available,
2026-04-10,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.99,0.99,token,not_available,
2026-04-10,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-10,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,0.59,0.59,token,global,
2026-04-10,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,1.13,1.13,token,global,
2026-04-10,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,output,0.16,0.16,token,global,
2026-04-10,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,input_no_cache,8.25,8.25,token,global,
2026-04-10,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,output,0.47,0.47,token,global,
2026-04-10,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-10,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_read,0.29,0.29,token,global,
2026-04-10,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_write_5m,0.27,0.27,token,global,
2026-04-10,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.14,0.14,token,global,
2026-04-10,Claude Sonnet 4.6,Default,ciso-key,message,≤ 200k,input_no_cache,0.11,0.11,token,global,
2026-04-10,Claude Sonnet 4.6,Default,ciso-key,message,≤ 200k,output,2.57,2.57,token,global,
2026-04-11,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,input_no_cache,3.33,3.33,token,global,
2026-04-11,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,output,0.17,0.17,token,global,
2026-04-11,Claude Sonnet 4.6,Default,ciso-key,message,≤ 200k,input_no_cache,0.40,0.40,token,global,
2026-04-11,Claude Sonnet 4.6,Default,ciso-key,message,≤ 200k,output,9.16,9.16,token,global,
2026-04-12,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_no_cache,0.05,0.05,token,not_available,
2026-04-12,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_read,0.36,0.36,token,not_available,
2026-04-12,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.34,0.34,token,not_available,
2026-04-12,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,output,0.13,0.13,token,not_available,
2026-04-12,Claude Haiku 4.5,Default,ciso-key,message,≤ 200k,input_no_cache,0.09,0.09,token,not_available,
2026-04-12,Claude Haiku 4.5,Default,ciso-key,message,≤ 200k,output,0.10,0.10,token,not_available,
2026-04-12,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.03,0.03,token,global,
2026-04-12,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,9.17,9.17,token,global,
2026-04-12,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,9.05,9.05,token,global,
2026-04-12,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,output,3.27,3.27,token,global,
2026-04-12,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.43,0.43,token,global,
2026-04-12,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,3.31,3.31,token,global,
2026-04-12,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,3.39,3.39,token,global,
2026-04-12,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,output,1.00,1.00,token,global,
2026-04-12,Claude Sonnet 4.6,Default,ciso-key,message,≤ 200k,input_no_cache,0.91,0.91,token,global,
2026-04-12,Claude Sonnet 4.6,Default,ciso-key,message,≤ 200k,output,5.09,5.09,token,global,
2026-04-13,--,Default,QuePasa,--,--,--,0.17,0.17,web_search,--,--
2026-04-13,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_no_cache,0.09,0.09,token,not_available,
2026-04-13,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_read,0.00,0.00,token,not_available,
2026-04-13,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,input_cache_write_5m,0.39,0.39,token,not_available,
2026-04-13,Claude Haiku 4.5,Default,QuePasa,message,≤ 200k,output,0.05,0.05,token,not_available,
2026-04-13,Claude Haiku 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,0.83,0.83,token,not_available,
2026-04-13,Claude Haiku 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.02,0.02,token,not_available,
2026-04-13,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-13,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,33.20,33.20,token,global,
2026-04-13,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,33.96,33.96,token,global,
2026-04-13,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,output,1.52,1.52,token,global,
2026-04-13,Claude Opus 4.6,Default,QuePasa,message,≤ 200k,output,8.13,8.13,token,global,
2026-04-13,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_no_cache,0.00,0.00,token,global,
2026-04-13,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_read,14.17,14.17,token,global,
2026-04-13,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,input_cache_write_5m,16.68,16.68,token,global,
2026-04-13,Claude Opus 4.6,Default,QuePasa,message,200k - 1M,output,2.30,2.30,token,global,
2026-04-13,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,19.78,19.78,token,not_available,
2026-04-13,Claude Sonnet 4.5,Default,Rezolve-R2-experimentation,message,≤ 200k,output,1.93,1.93,token,not_available,
2026-04-13,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_no_cache,0.46,0.46,token,global,
2026-04-13,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_read,3.55,3.55,token,global,
2026-04-13,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,input_cache_write_5m,8.12,8.12,token,global,
2026-04-13,Claude Sonnet 4.6,Default,QuePasa,message,≤ 200k,output,1.96,1.96,token,global,
2026-04-13,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,input_no_cache,13.79,13.79,token,global,
2026-04-13,Claude Sonnet 4.6,Default,rezolve-leon,message,≤ 200k,output,0.42,0.42,token,global,
2026-04-13,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_no_cache,0.00,0.00,token,global,
2026-04-13,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_read,1.40,1.40,token,global,
2026-04-13,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,input_cache_write_5m,0.76,0.76,token,global,
2026-04-13,Claude Sonnet 4.6,Default,Rezolve-R2-experimentation,message,≤ 200k,output,0.59,0.59,token,global,
2026-04-13,Claude Sonnet 4.6,Default,ciso-key,message,≤ 200k,input_no_cache,1.39,1.39,token,global,
2026-04-13,Claude Sonnet 4.6,Default,ciso-key,message,≤ 200k,output,6.04,6.04,token,global,
2026-04-14,--,Default,QuePasa,--,--,--,0.15,0.15,web_search,--,--
